x[0] x[1] x[2] u[0] u[1] 
6.16933 6.18279 0.114677 0.6 -0.9
6.34909 6.06985 -0.112152 0.6 -0.9
6.49884 5.91937 -0.33898 0.9 -0.9
6.65095 5.64058 -0.679223 -0.9 0.9
6.34636 5.73051 -1.01947 0.9 -0.9
6.28918 5.41811 -1.35971 0.9 0.3
6.39713 5.16722 -1.27619 0.9 -0.9
6.2625 4.87957 -1.61643 0.9 0.3
6.3032 4.60949 -1.53291 0.9 -0.6
6.19643 4.3453 -1.71763 0.9 0.9
6.37194 4.08061 -1.37738 0.9 -0.6
6.30739 3.80307 -1.5621 0.9 -0.6
6.19295 3.5421 -1.74682 0.9 0.9
6.36067 3.27241 -1.40657 0.9 -0.6
6.28804 2.99687 -1.59129 0.9 0.3
6.33551 2.72789 -1.50777 0.9 -0.6
6.23542 2.4611 -1.69249 0.9 0.3
6.25548 2.1887 -1.60897 0.9 0.3
6.2982 1.91893 -1.52545 0.9 0.3
6.36327 1.65367 -1.44193 0.9 0.3
6.45025 1.39476 -1.3584 0.9 0.3
6.55852 1.144 -1.27488 0.9 0.3
6.68733 0.903154 -1.19136 0.9 0.3
6.83579 0.673892 -1.10784 0.9 0.9
7.13125 0.557427 -0.7676 0.9 0.9
7.44864 0.546239 -0.427357 0.9 0.9
7.75158 0.641611 -0.0871143 -0.9 -0.9
7.46976 0.788052 0.253128 0.9 0.9
7.64522 1.05278 0.593371 0.9 0.9
7.72227 1.36088 0.933614 0.9 0.9
7.69208 1.67703 1.27386 0.9 0.3
7.71982 1.94875 1.35738 0.9 0.6
7.66083 2.22753 1.54209 0.9 -0.6
7.78494 2.48403 1.35738 0.9 0.6
7.72595 2.76281 1.54209 0.9 0.3
7.68068 3.03217 1.62562 0.9 -0.6
7.78296 3.29813 1.4409 0.9 0.6
7.70092 3.57102 1.62562 0.9 0.3
7.63334 3.83566 1.70914 0.9 -0.6
7.71307 4.10923 1.52442 0.9 0.3
7.67257 4.37934 1.60794 0.9 -0.6
7.77954 4.64345 1.42322 0.9 0.6
